Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0001568~blood vessel development	13	8.666666666666668	2.1229599909995613E-6	CDH13, CAV1, HEY1, TNFRSF12A, VEGFA, CSPG4, TNFSF13, ITGA4, GJA4, RBPJ, ANGPT2, CDH5, GJC1	123	245	13528	5.835871909739506	0.0027073512825547263	0.0027073512825547263	0.0034586235416411704
GOTERM_BP_FAT	GO:0001944~vasculature development	13	8.666666666666668	2.7301801185287953E-6	CDH13, CAV1, HEY1, TNFRSF12A, VEGFA, CSPG4, TNFSF13, ITGA4, GJA4, RBPJ, ANGPT2, CDH5, GJC1	123	251	13528	5.696368995562466	0.00348037417909286	0.001741703855706933	0.004447856498135394
GOTERM_BP_FAT	GO:0048514~blood vessel morphogenesis	11	7.333333333333333	2.0763963493322653E-5	CDH13, CAV1, HEY1, TNFRSF12A, VEGFA, CSPG4, TNFSF13, ITGA4, RBPJ, ANGPT2, GJC1	123	211	13528	5.733749470196123	0.026167398028253297	0.0087996731244947	0.03382282222293975
GOTERM_BP_FAT	GO:0001525~angiogenesis	7	4.666666666666667	0.002212302200046001	CDH13, TNFRSF12A, VEGFA, CSPG4, TNFSF13, RBPJ, ANGPT2	123	148	13528	5.201933640958031	0.9408831641461339	0.506908183112251	3.5439061889467216
GOTERM_BP_FAT	GO:0001936~regulation of endothelial cell proliferation	4	2.666666666666667	0.0029327563426623155	CDH13, CAV1, VEGFA, TNFSF13	123	32	13528	13.747967479674797	0.976497121765664	0.5276931872004453	4.672325242177832
GOTERM_BP_FAT	GO:0001570~vasculogenesis	4	2.666666666666667	0.005943097845098182	CAV1, HEY1, VEGFA, GJC1	123	41	13528	10.730120959746184	0.9995055071095486	0.7187926451167814	9.25460909059077
GOTERM_BP_FAT	GO:0022604~regulation of cell morphogenesis	6	4.0	0.006630572861259073	RHOJ, DLC1, LINGO1, TNFRSF12A, VEGFA, ARAP3	123	131	13528	5.037423198659467	0.9997956012021861	0.7028843850999559	10.271662649503888
GOTERM_BP_FAT	GO:0001938~positive regulation of endothelial cell proliferation	3	2.0	0.007844176570411851	CDH13, VEGFA, TNFSF13	123	15	13528	21.996747967479674	0.9999570943809585	0.7155117907619287	12.041006240769258
GOTERM_BP_FAT	GO:0042127~regulation of cell proliferation	15	10.0	0.011313794928892677	DLC1, CAV1, TAF6, ADORA2A, FLT4, IGFBP6, TBRG4, TNFSF13, CDH5, CAPN1, TMEM115, CDH13, VEGFA, NR5A2, INSR	123	787	13528	2.096259336163883	0.9999995105909024	0.8010002876308524	16.92052265978904
GOTERM_BP_FAT	GO:0007219~Notch signaling pathway	4	2.666666666666667	0.011470047212894838	NOTCH3, HEY1, HEYL, RBPJ	123	52	13528	8.460287679799876	0.9999996000396959	0.7708068207305436	17.134173931868666
GOTERM_BP_FAT	GO:0031589~cell-substrate adhesion	5	3.3333333333333335	0.011864931662430236	DLC1, TNFRSF12A, ITGA1, NID1, NID2	123	98	13528	5.611415297826448	0.999999759878544	0.7498381977190169	17.671822185428688
GOTERM_BP_FAT	GO:0008360~regulation of cell shape	4	2.666666666666667	0.012707466138087804	RHOJ, DLC1, VEGFA, ARAP3	123	54	13528	8.146943691659141	0.9999999192106689	0.7435833820499615	18.808034240192605
GOTERM_BP_FAT	GO:0048771~tissue remodeling	4	2.666666666666667	0.014018438852649888	CAV1, VEGFA, CSPG4, ITGA4	123	56	13528	7.855981416957027	0.9999999851936161	0.7501226757881498	20.546738441719025
GOTERM_BP_FAT	GO:0043255~regulation of carbohydrate biosynthetic process	3	2.0	0.015145618106332262	PPP1R3C, NR3C1, INSR	123	21	13528	15.711962833914054	0.9999999965638547	0.7514386037704813	22.013678793021597
GOTERM_BP_FAT	GO:0003018~vascular process in circulatory system	4	2.666666666666667	0.015403525706529453	CAV1, ADORA2A, VEGFA, ITGA1	123	58	13528	7.5850855060274744	0.9999999975406586	0.733280610669959	22.345733568589633
GOTERM_BP_FAT	GO:0030182~neuron differentiation	10	6.666666666666667	0.01758117480884459	NOTCH3, LINGO1, UNC5B, ADORA2A, TUBB2A, VEGFA, ITGA1, PCDH12, APBB2, SLIT3	123	438	13528	2.5110442885250768	0.9999999998545026	0.7572392657515141	25.097012646330864
GOTERM_BP_FAT	GO:0007595~lactation	3	2.0	0.026170014552501262	CAV1, SLC6A3, APLN	123	28	13528	11.78397212543554	0.999999999999998	0.8635791371026785	35.08128732370048
GOTERM_BP_FAT	GO:0008218~bioluminescence	2	1.3333333333333335	0.026813703809701703	NID1, NID2	123	3	13528	73.32249322493226	0.9999999999999991	0.8545978923268168	35.77685287282887
GOTERM_BP_FAT	GO:0040012~regulation of locomotion	6	4.0	0.02992217179694079	DLC1, CDH13, ADORA2A, VEGFA, ARAP3, INSR	123	192	13528	3.436991869918699	1.0	0.8702034336464871	39.0384946111501
GOTERM_BP_FAT	GO:0032583~regulation of gene-specific transcription	5	3.3333333333333335	0.03301936957711669	MEF2C, HEY1, NR5A2, INSR, SCAP	123	134	13528	4.103870889455163	1.0	0.8828007257274334	42.13318257498454
GOTERM_BP_FAT	GO:0048666~neuron development	8	5.333333333333334	0.03380942678235428	LINGO1, UNC5B, ADORA2A, VEGFA, ITGA1, PCDH12, APBB2, SLIT3	123	339	13528	2.5954864858383098	1.0	0.8764975046951642	42.89865219842323
GOTERM_BP_FAT	GO:0051493~regulation of cytoskeleton organization	5	3.3333333333333335	0.034587952720892115	DLC1, CAV1, CAPG, KATNB1, SYNPO	123	136	13528	4.043519846963176	1.0	0.8703887982801424	43.64364419102411
GOTERM_BP_FAT	GO:0035024~negative regulation of Rho protein signal transduction	2	1.3333333333333335	0.03559216799839611	DLC1, ARAP3	123	4	13528	54.99186991869919	1.0	0.8663009621978355	44.59113476410973
GOTERM_BP_FAT	GO:0010638~positive regulation of organelle organization	4	2.666666666666667	0.03904838451293299	CAV1, KATNB1, INSR, SYNPO	123	83	13528	5.300421196983055	1.0	0.8798906615371134	47.73908708886497
