Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0010605~negative regulation of macromolecule metabolic process	31	20.66666667	8.99E-12	"HSP90AB1, A2M, TSG101, DAXX, CTNNB1, KDM1A, ACD, AES, PSMD4, SKIL, UBE2D1, SUPT5H, TERF2, MDFI, RELA, ZHX1, TP53, SMAD3, CDC23, TLE1, UBE2I, SNW1, SMAD1, YWHAE, BRCA1, STAT3, PSMC5, PIAS4, PSMC1, PSMA3, UBB"	131	734	13528	4.361420222	1.41E-08	1.41E-08	1.50E-08
GOTERM_BP_FAT	GO:0051603~proteolysis involved in cellular protein catabolic process	28	18.66666667	1.34E-11	"XIAP, TSG101, STUB1, SUMO2, UBE2D3, UBE2D2, CASP8, PSMD4, UBE2D1, TRAF6, RELA, CBL, CDC23, UBE2I, SKP1, TRIM63, BRCA1, UBE2E3, GMCL1, PSMC5, PIAS4, UBE2K, PSMC1, PSMA3, UCHL5, UBE2W, SIAH1, UBB"	131	600	13528	4.81913486	2.10E-08	1.05E-08	2.24E-08
GOTERM_BP_FAT	GO:0044257~cellular protein catabolic process	28	18.66666667	1.51E-11	"XIAP, TSG101, STUB1, SUMO2, UBE2D3, UBE2D2, CASP8, PSMD4, UBE2D1, TRAF6, RELA, CBL, CDC23, UBE2I, SKP1, TRIM63, BRCA1, UBE2E3, GMCL1, PSMC5, PIAS4, UBE2K, PSMC1, PSMA3, UCHL5, UBE2W, SIAH1, UBB"	131	603	13528	4.795159065	2.36E-08	7.87E-09	2.51E-08
GOTERM_BP_FAT	GO:0030163~protein catabolic process	28	18.66666667	3.06E-11	"XIAP, TSG101, STUB1, SUMO2, UBE2D3, UBE2D2, CASP8, PSMD4, UBE2D1, TRAF6, RELA, CBL, CDC23, UBE2I, SKP1, TRIM63, BRCA1, UBE2E3, GMCL1, PSMC5, PIAS4, UBE2K, PSMC1, PSMA3, UCHL5, UBE2W, SIAH1, UBB"	131	622	13528	4.648683145	4.80E-08	1.20E-08	5.12E-08
GOTERM_BP_FAT	GO:0019941~modification-dependent protein catabolic process	26	17.33333333	1.73E-10	"XIAP, TSG101, STUB1, SUMO2, UBE2D3, UBE2D2, PSMD4, UBE2D1, TRAF6, CBL, CDC23, UBE2I, SKP1, TRIM63, BRCA1, UBE2E3, PSMC5, GMCL1, PIAS4, UBE2K, PSMC1, PSMA3, UCHL5, UBE2W, SIAH1, UBB"	131	574	13528	4.677607256	2.72E-07	5.43E-08	2.89E-07
GOTERM_BP_FAT	GO:0043632~modification-dependent macromolecule catabolic process	26	17.33333333	1.73E-10	"XIAP, TSG101, STUB1, SUMO2, UBE2D3, UBE2D2, PSMD4, UBE2D1, TRAF6, CBL, CDC23, UBE2I, SKP1, TRIM63, BRCA1, UBE2E3, PSMC5, GMCL1, PIAS4, UBE2K, PSMC1, PSMA3, UCHL5, UBE2W, SIAH1, UBB"	131	574	13528	4.677607256	2.72E-07	5.43E-08	2.89E-07
GOTERM_BP_FAT	GO:0007049~cell cycle	30	20	1.83E-10	"LZTS2, TSG101, HAUS1, DAXX, MLF1, CTNNB1, PSMD4, UBE2D1, SUPT5H, TERF2, TP53BP2, TP53, SUV39H1, SMAD3, CDC23, UBE2I, BANP, SKP1, BRCA1, CDK2, CDKN1A, PSMC5, PSMC1, PSMA3, CALM3, SIAH1, UBB, ABL1, CCNDBP1, ACVR1"	131	776	13528	3.992287715	2.86E-07	4.77E-08	3.05E-07
GOTERM_BP_FAT	GO:0044265~cellular macromolecule catabolic process	29	19.33333333	1.89E-10	"XIAP, TSG101, STUB1, SUMO2, UBE2D3, UBE2D2, CASP8, PSMD4, UBE2D1, TRAF6, UPF2, RELA, CBL, CDC23, UBE2I, SKP1, TRIM63, BRCA1, UBE2E3, GMCL1, PSMC5, PIAS4, UBE2K, PSMC1, PSMA3, UCHL5, UBE2W, SIAH1, UBB"	131	725	13528	4.130687023	2.96E-07	4.23E-08	3.15E-07
GOTERM_BP_FAT	GO:0006414~translational elongation	13	8.666666667	2.14E-10	"RPL18, RPSA, RPL19, RPL7, RPL31, RPL22, RPLP1, RPL10, EEF1G, RPL5, UBB, RPS2, RPS8"	131	101	13528	13.29181468	3.36E-07	4.20E-08	3.58E-07
GOTERM_BP_FAT	GO:0010604~positive regulation of macromolecule metabolic process	31	20.66666667	4.04E-10	"NIF3L1, KIT, STUB1, CTNNB1, HOXA1, REL, PSMD4, UBE2D1, SUPT5H, TRAF6, TERF2, SMAD9, RELA, TP53, SMAD3, CDC23, CREB5, SKP1, SMAD1, ESR2, BRCA1, CDK2, STAT3, ATF4, PSMC5, PIAS4, MAPK14, PSMC1, PSMA3, UBB, ACVR1"	131	857	13528	3.735452092	6.34E-07	7.04E-08	6.75E-07
GOTERM_BP_FAT	GO:0009057~macromolecule catabolic process	29	19.33333333	1.03E-09	"XIAP, TSG101, STUB1, SUMO2, UBE2D3, UBE2D2, CASP8, PSMD4, UBE2D1, TRAF6, UPF2, RELA, CBL, CDC23, UBE2I, SKP1, TRIM63, BRCA1, UBE2E3, GMCL1, PSMC5, PIAS4, UBE2K, PSMC1, PSMA3, UCHL5, UBE2W, SIAH1, UBB"	131	781	13528	3.834504599	1.61E-06	1.61E-07	1.71E-06
GOTERM_BP_FAT	GO:0006511~ubiquitin-dependent protein catabolic process	17	11.33333333	1.33E-09	"TSG101, CDC23, UBE2I, SKP1, TRIM63, STUB1, UBE2D3, PSMC5, UBE2D2, UBE2K, PSMC1, PSMA3, UCHL5, PSMD4, SIAH1, UBB, UBE2D1"	131	242	13528	7.254305722	2.08E-06	1.89E-07	2.22E-06
GOTERM_BP_FAT	GO:0044093~positive regulation of molecular function	24	16	7.54E-09	"MDFI, TRAF2, RELA, TP53, SMAD3, CDC23, SKP1, KIT, VAV2, DAXX, CDC42, PSMC5, NDEL1, ACD, GAB1, IKBKG, PSMC1, PSMA3, CALM3, PSMD4, UBB, UBE2D1, TRAF6, ABL1"	131	586	13528	4.229372378	1.18E-05	9.85E-07	1.26E-05
GOTERM_BP_FAT	GO:0043085~positive regulation of catalytic activity	22	14.66666667	2.26E-08	"MDFI, TRAF2, TP53, SMAD3, CDC23, SKP1, KIT, VAV2, DAXX, CDC42, PSMC5, NDEL1, ACD, IKBKG, PSMC1, PSMA3, GAB1, PSMD4, UBB, UBE2D1, TRAF6, ABL1"	131	520	13528	4.36899589	3.54E-05	2.72E-06	3.77E-05
GOTERM_BP_FAT	GO:0032446~protein modification by small protein conjugation	12	8	5.44E-08	"SUMO2, UBE2D3, UBE2D2, PIAS4, TSG101, CBL, SIAH1, UBB, UBE2D1, TRAF6, STUB1, BRCA1"	131	132	13528	9.387925052	8.53E-05	6.10E-06	9.09E-05
GOTERM_BP_FAT	GO:0022402~cell cycle process	22	14.66666667	9.33E-08	"LZTS2, TSG101, HAUS1, TP53, SMAD3, CDC23, UBE2I, SKP1, DAXX, BRCA1, CDK2, MLF1, CTNNB1, CDKN1A, PSMC5, PSMC1, PSMA3, PSMD4, UBB, UBE2D1, ABL1, ACVR1"	131	565	13528	4.021022766	1.46E-04	9.75E-06	1.56E-04
GOTERM_BP_FAT	GO:0031398~positive regulation of protein ubiquitination	10	6.666666667	1.06E-07	"PSMC5, PSMA3, PSMC1, CDC23, PSMD4, UBB, SKP1, UBE2D1, STUB1, BRCA1"	131	84	13528	12.29371138	1.66E-04	1.04E-05	1.77E-04
GOTERM_BP_FAT	GO:0051173~positive regulation of nitrogen compound metabolic process	23	15.33333333	1.93E-07	"HSP90AB1, SMAD9, HSP90AA1, NIF3L1, RELA, TP53, SMAD3, CREB5, ESR2, SMAD1, BRCA1, CDK2, STAT3, CTNNB1, HOXA1, ATF4, PSMC5, REL, MAPK14, UBB, SUPT5H, TERF2, ACVR1"	131	644	13528	3.688113413	3.03E-04	1.78E-05	3.23E-04
GOTERM_BP_FAT	GO:0031327~negative regulation of cellular biosynthetic process	21	14	3.81E-07	"MDFI, TSG101, ZHX1, TP53, SMAD3, TLE1, SNW1, UBE2I, DAXX, BRCA1, STAT3, CTNNB1, KDM1A, ACD, PSMC5, AES, PIAS4, SKIL, SUPT5H, CACNA1A, TERF2"	131	561	13528	3.865616198	5.97E-04	3.32E-05	6.37E-04
GOTERM_BP_FAT	GO:0070647~protein modification by small protein conjugation or removal	12	8	3.89E-07	"SUMO2, UBE2D3, UBE2D2, PIAS4, TSG101, CBL, SIAH1, UBB, UBE2D1, TRAF6, STUB1, BRCA1"	131	160	13528	7.745038168	6.09E-04	3.21E-05	6.49E-04
GOTERM_BP_FAT	"GO:0045934~negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process"	20	13.33333333	4.20E-07	"MDFI, TSG101, ZHX1, TP53, SMAD3, TLE1, SNW1, UBE2I, DAXX, BRCA1, STAT3, CTNNB1, KDM1A, PSMC5, AES, ACD, PIAS4, SKIL, SUPT5H, TERF2"	131	512	13528	4.033874046	6.58E-04	3.29E-05	7.01E-04
GOTERM_BP_FAT	GO:0031396~regulation of protein ubiquitination	10	6.666666667	4.81E-07	"PSMC5, PSMA3, PSMC1, CDC23, PSMD4, UBB, SKP1, UBE2D1, STUB1, BRCA1"	131	100	13528	10.32671756	7.54E-04	3.59E-05	8.04E-04
GOTERM_BP_FAT	GO:0051172~negative regulation of nitrogen compound metabolic process	20	13.33333333	5.16E-07	"MDFI, TSG101, ZHX1, TP53, SMAD3, TLE1, SNW1, UBE2I, DAXX, BRCA1, STAT3, CTNNB1, KDM1A, PSMC5, AES, ACD, PIAS4, SKIL, SUPT5H, TERF2"	131	519	13528	3.979467267	8.08E-04	3.68E-05	8.62E-04
GOTERM_BP_FAT	GO:0009890~negative regulation of biosynthetic process	21	14	5.33E-07	"MDFI, TSG101, ZHX1, TP53, SMAD3, TLE1, SNW1, UBE2I, DAXX, BRCA1, STAT3, CTNNB1, KDM1A, ACD, PSMC5, AES, PIAS4, SKIL, SUPT5H, CACNA1A, TERF2"	131	573	13528	3.784660885	8.35E-04	3.63E-05	8.90E-04
GOTERM_BP_FAT	GO:0031328~positive regulation of cellular biosynthetic process	23	15.33333333	5.55E-07	"HSP90AB1, SMAD9, HSP90AA1, NIF3L1, RELA, TP53, SMAD3, CREB5, ESR2, SMAD1, BRCA1, CDK2, STAT3, CTNNB1, HOXA1, ATF4, PSMC5, REL, MAPK14, UBB, TRAF6, SUPT5H, ACVR1"	131	685	13528	3.467365019	8.70E-04	3.63E-05	9.27E-04
GOTERM_BP_FAT	GO:0010628~positive regulation of gene expression	21	14	6.62E-07	"SMAD9, NIF3L1, RELA, TP53, SMAD3, CREB5, KIT, ESR2, SMAD1, BRCA1, STAT3, CDK2, CTNNB1, HOXA1, ATF4, PSMC5, REL, MAPK14, UBB, SUPT5H, ACVR1"	131	581	13528	3.732548515	0.001037909	4.15E-05	0.001106289
GOTERM_BP_FAT	GO:0043067~regulation of programmed cell death	25	16.66666667	7.08E-07	"TRAF2, CARD9, XIAP, HTT, TP53BP2, RELA, TP53, SMAD3, KIT, ESR2, ITSN1, VAV2, DAXX, YWHAE, BRCA1, BAG4, CDKN1A, PSMC5, CASP8, IKBKG, UBB, TRAF6, ABL1, CACNA1A, ACVR1"	131	812	13528	3.179408115	0.001110293	4.27E-05	0.001183485
GOTERM_BP_FAT	GO:0009891~positive regulation of biosynthetic process	23	15.33333333	7.08E-07	"HSP90AB1, SMAD9, HSP90AA1, NIF3L1, RELA, TP53, SMAD3, CREB5, ESR2, SMAD1, BRCA1, CDK2, STAT3, CTNNB1, HOXA1, ATF4, PSMC5, REL, MAPK14, UBB, TRAF6, SUPT5H, ACVR1"	131	695	13528	3.417474875	0.001110309	4.11E-05	0.001183501
GOTERM_BP_FAT	GO:0010941~regulation of cell death	25	16.66666667	7.57E-07	"TRAF2, CARD9, XIAP, HTT, TP53BP2, RELA, TP53, SMAD3, KIT, ESR2, ITSN1, VAV2, DAXX, YWHAE, BRCA1, BAG4, CDKN1A, PSMC5, CASP8, IKBKG, UBB, TRAF6, ABL1, CACNA1A, ACVR1"	131	815	13528	3.167704772	0.001186077	4.24E-05	0.001264312
GOTERM_BP_FAT	GO:0031399~regulation of protein modification process	15	10	9.14E-07	"MDFI, CDC23, SKP1, YWHAE, DAXX, STUB1, BRCA1, PSMC5, PIAS4, PSMC1, PSMA3, GAB1, PSMD4, UBB, UBE2D1"	131	295	13528	5.250873334	0.001432615	4.94E-05	0.001527298
GOTERM_BP_FAT	GO:0010558~negative regulation of macromolecule biosynthetic process	20	13.33333333	1.14E-06	"MDFI, TSG101, ZHX1, TP53, SMAD3, TLE1, SNW1, UBE2I, DAXX, BRCA1, STAT3, CTNNB1, KDM1A, PSMC5, AES, ACD, PIAS4, SKIL, SUPT5H, TERF2"	131	547	13528	3.775765103	0.001782203	5.95E-05	0.001900319
GOTERM_BP_FAT	GO:0010629~negative regulation of gene expression	19	12.66666667	1.51E-06	"MDFI, TSG101, ZHX1, TP53, SMAD3, TLE1, SNW1, UBE2I, SMAD1, DAXX, STAT3, BRCA1, CTNNB1, KDM1A, PSMC5, AES, PIAS4, SKIL, SUPT5H"	131	504	13528	3.893008603	0.002367055	7.64E-05	0.002524665
GOTERM_BP_FAT	GO:0045941~positive regulation of transcription	20	13.33333333	1.79E-06	"SMAD9, NIF3L1, RELA, TP53, SMAD3, CREB5, ESR2, SMAD1, BRCA1, STAT3, CDK2, CTNNB1, HOXA1, ATF4, PSMC5, REL, MAPK14, UBB, SUPT5H, ACVR1"	131	564	13528	3.661956581	0.002806496	8.78E-05	0.002994018
GOTERM_BP_FAT	GO:0016481~negative regulation of transcription	18	12	1.86E-06	"MDFI, TSG101, ZHX1, TP53, SMAD3, TLE1, SNW1, UBE2I, DAXX, STAT3, BRCA1, CTNNB1, KDM1A, PSMC5, AES, PIAS4, SKIL, SUPT5H"	131	459	13528	4.04969316	0.002906025	8.82E-05	0.003100351
GOTERM_BP_FAT	"GO:0045935~positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process"	21	14	2.00E-06	"SMAD9, NIF3L1, RELA, TP53, SMAD3, CREB5, ESR2, SMAD1, BRCA1, STAT3, CDK2, CTNNB1, HOXA1, ATF4, PSMC5, REL, MAPK14, UBB, SUPT5H, TERF2, ACVR1"	131	624	13528	3.475337639	0.003135601	9.24E-05	0.003345659
GOTERM_BP_FAT	GO:0006508~proteolysis	28	18.66666667	2.08E-06	"XIAP, TSG101, STUB1, SUMO2, UBE2D3, UBE2D2, CASP8, PSMD4, UBE2D1, TRAF6, RELA, CBL, CDC23, UBE2I, SKP1, TRIM63, BRCA1, UBE2E3, GMCL1, PSMC5, PIAS4, UBE2K, PSMC1, PSMA3, UCHL5, UBE2W, SIAH1, UBB"	131	1054	13528	2.743340528	0.003258931	9.33E-05	0.003477464
GOTERM_BP_FAT	GO:0016567~protein ubiquitination	10	6.666666667	2.10E-06	"UBE2D3, UBE2D2, TSG101, CBL, SIAH1, UBB, UBE2D1, TRAF6, STUB1, BRCA1"	131	119	13528	8.677913914	0.003286701	9.14E-05	0.003507144
GOTERM_BP_FAT	GO:0006917~induction of apoptosis	15	10	2.39E-06	"TP53BP2, HTT, TP53, SMAD3, VAV2, ITSN1, YWHAE, DAXX, BRCA1, CDKN1A, IKBKG, CASP8, UBB, TRAF6, ABL1"	131	320	13528	4.840648855	0.003740903	1.01E-04	0.00399271
GOTERM_BP_FAT	GO:0012502~induction of programmed cell death	15	10	2.48E-06	"TP53BP2, HTT, TP53, SMAD3, VAV2, ITSN1, YWHAE, DAXX, BRCA1, CDKN1A, IKBKG, CASP8, UBB, TRAF6, ABL1"	131	321	13528	4.825568952	0.003879636	1.02E-04	0.004141066
GOTERM_BP_FAT	GO:0051437~positive regulation of ubiquitin-protein ligase activity during mitotic cell cycle	8	5.333333333	3.83E-06	"PSMC5, PSMA3, PSMC1, CDC23, PSMD4, UBB, SKP1, UBE2D1"	131	68	13528	12.14907948	0.005991815	1.54E-04	0.006402289
GOTERM_BP_FAT	GO:0010557~positive regulation of macromolecule biosynthetic process	21	14	4.09E-06	"SMAD9, NIF3L1, RELA, TP53, SMAD3, CREB5, ESR2, SMAD1, BRCA1, STAT3, CDK2, CTNNB1, HOXA1, ATF4, PSMC5, REL, MAPK14, UBB, TRAF6, SUPT5H, ACVR1"	131	654	13528	3.315918482	0.00638511	1.60E-04	0.006823861
GOTERM_BP_FAT	GO:0051443~positive regulation of ubiquitin-protein ligase activity	8	5.333333333	4.66E-06	"PSMC5, PSMA3, PSMC1, CDC23, PSMD4, UBB, SKP1, UBE2D1"	131	70	13528	11.80196292	0.007287497	1.78E-04	0.007791751
GOTERM_BP_FAT	GO:0051439~regulation of ubiquitin-protein ligase activity during mitotic cell cycle	8	5.333333333	5.13E-06	"PSMC5, PSMA3, PSMC1, CDC23, PSMD4, UBB, SKP1, UBE2D1"	131	71	13528	11.63573809	0.008017548	1.92E-04	0.008575435
GOTERM_BP_FAT	GO:0006357~regulation of transcription from RNA polymerase II promoter	22	14.66666667	5.55E-06	"MDFI, RELA, TP53, SMAD3, TLE1, SNW1, ESR2, SMAD1, STAT3, BRCA1, CTNNB1, KDM1A, HOXA1, ATF4, AES, PIAS4, MAPK14, SKIL, ABL1, SUPT5H, CRK, CHD3"	131	727	13528	3.125003938	0.008664994	2.02E-04	0.009270922
GOTERM_BP_FAT	GO:0010498~proteasomal protein catabolic process	9	6	6.03E-06	"PSMC5, PSMA3, PSMC1, CDC23, PSMD4, UBB, UBE2D1, TRIM63, STUB1"	131	102	13528	9.111809609	0.009404804	2.15E-04	0.010066176
GOTERM_BP_FAT	GO:0043161~proteasomal ubiquitin-dependent protein catabolic process	9	6	6.03E-06	"PSMC5, PSMA3, PSMC1, CDC23, PSMD4, UBB, UBE2D1, TRIM63, STUB1"	131	102	13528	9.111809609	0.009404804	2.15E-04	0.010066176
GOTERM_BP_FAT	GO:0051351~positive regulation of ligase activity	8	5.333333333	6.19E-06	"PSMC5, PSMA3, PSMC1, CDC23, PSMD4, UBB, SKP1, UBE2D1"	131	73	13528	11.31695075	0.009659841	2.16E-04	0.010340463
