Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0016032~viral process	17	11.333333333333332	3.249814164372176E-9	CREB3, COPS6, GRB2, VIM, TP53, SUV39H1, CALCOCO2, UBE2I, SGTA, MAPK1, EP300, HDAC1, PLCG1, FYN, PSMA3, PRMT6, PIK3R1	139	299	16792	6.868554654604076	3.890020032204511E-6	3.890020032204511E-6	5.252234402952638E-6
GOTERM_BP_DIRECT	GO:0050852~T cell receptor signaling pathway	13	8.666666666666668	3.2953020431939263E-9	UBE2V1, PSMA1, MAPK1, UBE2D2, PLCG1, FYN, NCK1, IKBKG, PSMA3, PSMD2, UBE2D1, TRAF6, PIK3R1	139	148	16792	10.611316352323547	3.944468758509956E-6	1.9722363241436724E-6	5.325750229712156E-6
GOTERM_BP_DIRECT	GO:0070534~protein K63-linked ubiquitination	8	5.333333333333334	1.820836000781205E-8	TRAF2, UBE2D4, UBE2E3, NEDD4, TRIM27, UBE2V1, TRAF6, UBE2E2	139	37	16792	26.120163328796426	2.1795169650506985E-5	7.265109331799913E-6	2.9427702163964398E-5
GOTERM_BP_DIRECT	GO:0000209~protein polyubiquitination	13	8.666666666666668	3.833382360381248E-8	PSMA1, UBE2D3, LRSAM1, UBE2D2, PSMA3, PSMD2, UBE2V1, SIAH1, SMURF1, TRAF6, UBE2D1, UBE2U, UBE2E1	139	184	16792	8.535189239912418	4.5884534953244405E-5	1.1471331123891204E-5	6.195374915307639E-5
GOTERM_BP_DIRECT	GO:0070936~protein K48-linked ubiquitination	8	5.333333333333334	1.0387652472641007E-7	UBE2D4, UBE2E3, UBE2D3, UBE2D2, UBE2H, UBE2D1, UBE2E2, UBE2E1	139	47	16792	20.562681769478036	1.243324766190268E-4	2.486773210119697E-5	1.6788142584989174E-4
GOTERM_BP_DIRECT	GO:0002223~stimulatory C-type lectin receptor signaling pathway	10	6.666666666666667	2.0273275560927946E-7	PSMA1, UBE2D2, EP300, FYN, PSMA3, IKBKG, PSMD2, UBE2V1, TRAF6, UBE2D1	139	105	16792	11.505310037684136	2.4264169077392594E-4	4.0444370942971375E-5	3.2764899154935634E-4
GOTERM_BP_DIRECT	GO:0038095~Fc-epsilon receptor signaling pathway	12	8.0	2.4993986287085967E-7	MAPK1, PSMA1, UBE2D2, PLCG1, GRB2, PSMA3, IKBKG, PSMD2, UBE2V1, TRAF6, UBE2D1, PIK3R1	139	178	16792	8.144208228922482	2.991333040094357E-4	4.273880857119661E-5	4.039431836688756E-4
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	26	17.333333333333336	3.7916973907799387E-7	LMO2, XRCC6, ARNT2, PIN1, KDM1A, REL, TCF4, TRAF6, PIK3R1, EGFR, IKZF3, CTBP2, IKZF1, CREB3, OTX1, TP53, CCNC, SMAD2, SMAD1, PLSCR1, EP300, HDAC1, MEOX2, MAPK14, NCK1, IKBKG	139	981	16792	3.201783527306595	4.5376328197810345E-4	5.673167365904952E-5	6.12798933741221E-4
GOTERM_BP_DIRECT	GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process	12	8.0	9.27336278755657E-7	PSMA1, UBE2D3, PSMA3, TP53, PSMD2, SIAH1, SMURF1, UBE2H, UBE2D1, UBE2E1, UBE2U, APC	139	203	16792	7.141226919941879	0.0011094061937891864	1.233281767178962E-4	0.0014987174946967663
GOTERM_BP_DIRECT	GO:0042770~signal transduction in response to DNA damage	5	3.3333333333333335	1.3780659204748257E-6	CASP9, GRB2, MAPK14, CEP63, ABL1	139	11	16792	54.911706998037936	0.001648186290102216	1.6494100007879986E-4	0.002227158037670929
